index	page	text
2030862-2030862	507	494 
2033712-2033746	508	REGISTER VAN PERSONEN- EN PLAATS-NAMEN. 
2036526-2036526	509	496 
2039217-2039251	510	REGISTER VAN PERSONEN- EN PLAATS-NAME.V. 
2042341-2042341	511	498 
2045790-2045824	512	REGISTER VAN PERSONEN- EN PLAATS-NAMEN. 
2048482-2048482	513	UÖO 
2051031-2051066	514	REfilSTER VAN PERSONEN- EN PLAATS-NAMEN. 
2054094-2054094	515	»02 
2057569-2057603	516	REGISTER VAN PERSONEN- EN PLAATS-NAMEN. 
2060041-2060041	517	504 
2062816-2062850	518	REGISTER VAN PERSONEN- EN PLAATS-NAMEN. 
2065920-2065920	519	S06 
2068949-2068983	520	REGISTER VAN PERSONEN- EN PLAATSNAMEN. 
2071680-2071680	521	SOS 
2074317-2074351	522	REGISTER VAN PERSONtN- EN PLAATS-NAMÊN. 
2074773-2074785	523	Digitized by 
2074811-2074811	524	ERRATA. 
2075578-2075595	525	Digitized by VjOOQIC
2075612-2075612	526	i 
2075659-2075671	527	Digitized by 
2075699-2075699	528	r 
2075746-2075758	529	Digitized by 
