ap	341	1864	 gecapleerl 	 vrunischap 	 haperingh 
mi	312	1805	 commissaris 	 misnoegende 	 minder 
nn	276	1790	 hunner 	 daerinne 	 geordonneert 
lv	150	1790	 selver 	 deselve 	 weshalven 
no	332	1772	 nochte 	 genoechsame 	 misnoegende 
ov	280	1765	 over 	 verovert 	 daerenboven 
ur	388	1752	 gediscoureert 	 faveur 	 geproccureert 
bo	497	1751	 lamboe 	 verbont 	 daerenboven 
rl	465	1732	 nederlantsen 	 verliondt 	 gecapleerl 
ry	305	1723	 bangry 	 rys 	 rycke 
d 	185	1705	 ed 	 gerard 	 d*ed 
 '	55	1674	 't 	 's 	 'by 
lt	341	1674	 gedeelte 	 hielt 	 gemelte 
ld	256	1671	 belooflde 	 inbeeldende 	 voldoeningh 
br	314	1570	 brieven 	 brenght 	 brieff 
hu	172	1566	 hunner 	 hun 	 hulpe 
ag	333	1547	 ragiepour 	 dagh 	 mueragie 
pr	366	1533	 princen 	 principalen 	 priaman 
ul	311	1515	 sulcx 	 sullen 	 speculatien 
  	1	1509	  
ft	140	1499	 heeft 	 schrift 	 ofte 
eu	421	1480	 glorieusen 	 periculeusen 	 faveur 
lc	182	1476	 alchin 	 sulcx 	 alchinse 
't	14	1442	 't 	 van't 	 nae't 
un	195	1441	 hunner 	 hun 	 gunt 
tt	408	1427	 ditto 	 schatten 	 facetten 
su	245	1409	 sumatra 	 substantie 	 sulcx 
wi	223	1392	 wichtmans 	 wantrouwige 	 wierl 
il	413	1388	 johorilen 	 previlegien 	 verwildert 
yd	254	1372	 gescheyden 	 tydingh 	 wyderingh 
of	185	1365	 belooflde 	 off 	 offle 
rc	303	1325	 oppercoopman 	 verclaert 	 verclyninge 
rn	182	1278	 vernielight 	 gouverneurs 	 gouverneur 
ep	324	1276	 peper 	 geprepareerde 	 reputatie 
ef	245	1270	 heeft 	 brieff 	 reformatie 
by	92	1262	 by 	 (by 	 concubyn 
mp	240	1259	 campher 	 comp 	 compsle 
2 	147	1255	 13:2 	 2 	 22 
mm	235	1232	 commissaris 	 opclimmende 	 immers 
gr	174	1216	 bangry 	 grissee 	 groeten 
ia	366	1216	 priaman 	 aliantie 	 diamant 
qu	318	1214	 queda 	 conquesle 	 delinquanlen 
 f	291	1207	 fluytschip 	 fieren 	 firmalie 
ew	235	1202	 beweghen 	 herrewaerts 	 bewogen 
cl	239	1197	 verclaert 	 opclimmende 	 verclyninge 
tu	227	1185	 vaertuyghen 	 portugiesen 	 20sturx 
ua	222	1160	 delinquanlen 	 avantguarde 	 guarde 
od	208	1153	 soodanigen 	 dooden 	 accommodabelsle 
th	270	1137	 gelegentheyt 	 bethoont 	 thouen 
wo	165	1131	 antwoort 	 bewogen 	 worden 
us	379	1127	 westcust 	 excuseert 	 glorieusen 
f 	144	1116	 brieff 	 off 	 aff 
vi	281	1116	 adviseert 	 previlegien 	 riviere 
bb	56	1109	 hebben 	 hebbende 	 schobbejacken 
os	339	1090	 malroose 	 ditlos 	 posten 
ye	238	1088	 sayer 	 partye 	 waerdye 
ea	168	1085	 realen 	 reacl 	 reael 
ty	128	1047	 tyt 	 partye 	 tydingh 
uc	286	1025	 gereduceerl 	 successive 	 successeur 
