Packelongen	29
Persia	29
Tidorees	29
Tot	29
becomt	29
beslooten	29
bun	29
diversche	29
diverse	29
gecommitteerdens	29
geduyrende	29
gehad	29
gelargeert	29
geordonneert	29
geprovideert	29
geseyden	29
halve	29
hooch	29
i	29
lach	29
lanangh	29
mannen	29
passen	29
reeden	29
schynt	29
voegen	29
wal	29
Backer	28
China	28
Kimelaha	28
Nederlanders	28
Serrabon	28
U.E	28
baer	28
beseth	28
broeder	28
contentement	28
dies	28
effect	28
gantsch	28
gedient	28
gillions	28
hoope	28
laecken	28
licentie	28
noot	28
resterende	28
rycke	28
schieten	28
teecken	28
vele	28
ven	28
voert	28
voornoemde	28
vreemdelingen	28
wegh	28
weicke	28
ysere	28
Crayen	27
Johorit	27
Limmen	27
Mardyckers	27
U.Ed	27
ancker	27
belast	27
beloften	27
breecken	27
gelieven	27
jaers	27
langer	27
malcander	27
name	27
ontboden	27
oorsake	27
overloopers	27
proffyt	27
ruym	27
sagou	27
schoone	27
stux	27
th	27
toesegginge	27
verhaelt	27
vernomen	27
verseylt	27
vruchten	27
wierde	27
zulcx	27
Anum	26
Coster	26
Groot	26
Java	26
ambassadeur	26
behalven	26
cant	26
chits	26
doenlyck	26
fyne	26
geset	26
geweer	26
gewent	26
insgelycx	26
laden	26
meeninge	26
metale	26
paer	26
procure	26
raden	26
reael	26
setten	26
slach	26
suyver	26
verseeckeringh	26
vloote	26
vond	26
voorige	26
vrye	26
wist	26
•	26
Amsterdam	25
Anthonio	25
Batacaloa	25
Grissic	25
Hendrick	25
Nederlantse	25
Radja	25
asta	25
begeert	25
belooft	25
cassen	25
continueeren	25
corael	25
directeur	25
doet	25
generael	25
gequetst	25
handt	25
hunnen	25
jae	25
ladinge	25
lants	25
nachts	25
sorteringe	25
voorneemens	25
Adriaen	24
Godes	24
Jacob	24
Nanningh	24
P	24
Vlieth	24
beyde	24
brenght	24
cruysen	24
gallot	24
gedragen	24
geraden	24
gevolcht	24
goude	24
insonderheyt	24
lywaet	24
maes	24
melden	24
oost	24
orangcays	24
ouden	24
overleden	24
pee	24
sant	24
tanden	24
ultimo	24
vaeren	24
vereert	24
vreese	24
woon	24
Aen	23
Ghinesen	23
Lampongh	23
Negombo	23
Queey	23
TRANSLAET	23
Wassenaer	23
beer	23
begeven	23
beginnen	23
bejegent	23
bequaem	23
bescheyt	23
ellen	23
gantsche	23
geleyde	23
geoordeelt	23
gesecht	23
gissinge	23
jegenwoordigh	23
kerck	23
passé	23
quade	23
quaet	23
rade	23
reeckeninge	23
soeckt	23
sp	23
strandt	23
veroorsaeckt	23
veroveren	23
vyff	23
waert	23
wancan	23
weegen	23
west	23
woort	23
wys	23
Assahoudj	22
Augusty	22
Banjermassingh	22
Bengala	22
Franicker	22
Gemelte	22
Jansz	22
Tidor	22
Uyt	22
Wawanj	22
admirael	22
bedencken	22
beeter	22
belet	22
besendinge	22
bleeven	22
boot	22
eere	22
gaens	22
gaet	22
gebruyckt	22
gestorven	22
groeten	22
gunt	22
h	22
iets	22
jegen	22
laxamana	22
noode	22
officieren	22
oly	22
provisie	22
respective	22
schulden	22
stoff	22
sult	22
vellen	22
verhoopt	22
vivres	22
vrundelyck	22
wegens	22
'	21
Hilla	21
Hittoe	21
Nangasacqui	21
Palembangh	21
Pegu	21
Pieter	21
avont	21
batterye	21
behoorlycke	21
eynden	21
fyn	21
geleden	21
gelieffde	21
geraecken	21
gesproocken	21
harde	21
hoff	21
hoop	21
liep	21
maeckt	21
