gram	#words	#occurrences	example1	example2	example3
ft	69	786	ofte	schriftelycke	(ofte
hr	126	778	schrift	schriftelycke	chryghsmacht
├Ba	129	775	Bangry	Bandanesen	Ballacky
th	151	771	gelegentheyt	bethoont	gethoont
├2┤	1	769	2
lt┤	183	769	hielt	gestelt	velt
├br	93	768	brieven	brenght	brieff
├en┤	1	765	en
un	180	759	hunner	gunt	secunda
am┤	93	751	Nelmonam	Bantam	Siam
no	201	747	genoechsame	misnoegende	aengenomen
├pe	103	738	peper	persoon	periculeusen
dr	189	738	redresseren	Indrapoura	ordre
iv	105	736	arriveren	Sanivoort	prerogaliven
ia	273	733	Priaman	aliantie	diamant
vi	158	722	adviseert	previlegien	riviere
em┤	64	714	hem	Salem	Alem
br	189	703	gebruyckcn	gebracht	verbrandt
mi	194	698	Commissaris	dominatie	bemiddelen
cx┤	47	689	Conincx	sulcx	zulcx
al┤	54	689	sal	dal	uytval
oe┤	51	686	lamboe	daertoe	rechttoe
og	188	682	hoogh	Hoogh	aengetogen
00┤	91	679	600	200	500
un┤	12	675	hun	(hun	bun
ba	283	671	ambassaten	Ambassadeur	ambassada
mp┤	21	670	Comp	comp	romp
wo	124	666	antwoort	bewogen	geworpen
id	165	666	middel	bemiddelen	subsidien
cc	148	659	Malacca	Malaccas	accommodabelsle
uw	190	659	wantrouwige	mistrouwen	juweelen
kt┤	115	648	verryckt	denckt	versterckt
av	130	646	faveur	Javaense	travaden
uv	53	646	Gouverneurs	Gouverneur	Jangounauvoan
rw	143	645	verwachten	verwildert	verwart
├ry	39	643	rys	rycke	rycxdaelder
├bo	157	643	bootjen	boomen	boven
yl	156	618	sylieden	d*eylanden	vuylesieckte
ft┤	65	614	heeft	schrift	blyft
├ne	82	614	negolie	nemen	negen
to┤	39	606	ditto	dato	cento
me┤	79	602	genoechsame	waeromme	omme
ye┤	58	597	partye	waerdye	parthye
mp	224	589	campher	compsle	vreempl
ug	112	580	Portugiesen	rugge	Portugees
├ga	116	580	gantsch	gaen	gantsche
gi	191	579	dancksegginge	Portugiesen	previlegien
rv	149	578	overvloet	overvloedigh	ondervraecht
sg	49	563	mitsgaders	Alitsgaders	insgelycx
├Pa	140	562	Panghlymas	Panglima	Paducka
ay	139	559	Sayer	thayl	mayoor
ut┤	85	558	hout	geschut	schut
ue	234	555	Queda	mueren	conquesle
├qu	79	551	quamen	queen	qualyck
rh	171	550	overhandight	Opperhooft	metterhaest
├;┤	1	546	;
sl	264	545	conquesle	hooghslen	accommodabelsle
├De	36	540	Des	Den	Dese
├Ca	143	538	Capiteyn	Cap	Capt
├Ch	76	536	Cherrebon	Chillebhaer	Chineese
├is┤	1	535	is
lg	86	528	volgende	gevolge	aenvolgende
do	178	525	geordonneert	voldoeningh	geordonneerden
hs┤	80	525	tinganghs	daeghs	oorloghs
qu	209	523	conquesle	delinquanlen	musquettiers
├ey	43	519	eynde	eylanden	eyscht
pm	33	515	Oppercoopman	Coopman	coopmanschappen
├le	106	512	lesen	legatie	leveren
ct	144	500	protecteeren	directie	instructie
ir	196	500	oirsaecke	firmalie	comptoirs
ce	185	498	princen	gereduceerl	successive
├ty	25	496	tyt	tydingh	tydelyck
fe	169	496	dieffelyck	defentie	infesteren
ra┤	125	495	Sumatra	Indrapoura	Endra
├af	229	494	affcortinge	affscheyt	aff
├si	81	493	sich	situatie	sittende
im	172	491	opclimmende	Panglima	Maximilaen
pr	154	485	geprepareerde	geproccureert	apprehenlie
├bl	83	482	blyft	blyvende	blancke
of	159	480	belooflde	Opperhooft	loff
├ba	108	477	ballast	barus	battalie
hu	107	476	schuit	geschut	schut
ia┤	94	474	Sibederadia	India	Batavia
yg	100	469	vaertuyghen	weygeringh	krygen
mo	185	464	ootmoedige	accommodabelsle	Symon
├Ge	65	463	Generael	Geus	Generaels
ty	79	445	partye	altyt	styffsinnigen
├wo	38	444	worden	wordende	wooninge
├ro	103	441	rooven	ront	ronden
po	220	436	voorspoedige	Indrapoura	Ragiepour
pi	113	428	geconcipieerde	concpiesten	capileyn
ip	125	427	principalen	geconcipieerde	coniptoir
gg	75	420	dancksegginge	rugge	seggen
├jo	39	416	jonek	jonghsten	jonck
yv	70	410	blyvende	suyver	schryven
tw	106	409	antwoort	facetwerck	antwoordende
ye	160	409	Sayer	musquetteryen	Maleyer
├ar	79	406	arriveren	arrière	arbeyden
ut	166	404	reputatie	resolutie	schermutsinge
ad┤	21	403	gehad	had	geclad
├Ed┤	1	398	Ed
rb	148	394	eerbiedigh	verbleven	verbont
├Po	51	392	Portugiesen	Portugees	Portugiese
├ti	42	390	tingangh	tinganghs	tinghangh
ya	59	386	vyanden	vyant	vyandt
ol┤	31	385	vol	tol	lol
├4┤	1	378	4
au	168	376	Jangounauvoan	Laxamaua	fauten
├pl	50	376	plaels	pleegen	pleyn
├ic	1	375	ick
tg	163	374	goetgevonden	avantguarde	dootgescholen
ay┤	33	373	May	Orangcay	ray
├pi	45	368	pistoolschoot	pitjens	picols
├sl	105	368	slaet	sloulelyck	sluckjens
tv	85	366	Santvoort	uytval	uytvercoren
├Ga	98	366	Gasteel	Gap	Galissa
├a┤	1	362	a
ph	65	359	solpher	campher	Stephanus
sp	164	357	despecheren	voorspoedige	gespeelt
hy	62	357	parthye	schynsel	verschynen
ab	160	351	accommodabelsle	vagabonden	fabriceren
ek	158	349	onbekenl	Kaertekoe	doeken
ip┤	19	348	fluytschip	schip	fluyischip
in┤	79	348	Atchin	Alchin	daerin
├3┤	1	348	3
ei	181	347	vermeit	geit	Capitein
ca┤	46	341	Malacca	Malac^ca	jtfalacca
├om	46	336	omtrent	omme	omdat
├ta	71	333	tale	tanden	talamba
├d┤	1	330	d
it┤	63	329	Johorit	schuit	vermeit
├10┤	1	328	10
ui	136	327	schuit	Gouinck	schuil
cu	121	323	Westcust	secunda	excuseert
oi	127	319	comptoirs	cleynoilien	coniptoir
├bi	34	318	binnen	bittere	bidden
nl	153	317	preminenlien	mandamenlen	gelegenlheyt
ar┤	64	315	Sabandar	Gesar	Maccassar
