gram	#words	#occurrences	example1	example2	example3
├bha	9	133	bhaer	bharen	bhaeren
├myn┤	1	133	myn
├oud	16	132	oudt	ouden	oude
├ber	60	132	beraetslaeght	beroovinghe	berrewaerts
├ant	7	131	antwoort	antwoordende	antwoorden
├Jav	11	131	Javaense	Javanen	Javaen
├ech	2	130	echter	echler
├pra	32	130	practycquen	prauw	prauwen
├gae	11	128	gaen	gaerne	gaende
├Gon	18	128	Goninck	Gonincx	Gonimcx
├pri	20	127	princen	principalen	prince
├Ind	19	127	Indrapoura	India	Indische
├yde	5	127	yder	ydele	yders
├pan	26	127	pannen	pangayen	pangeran
├lat	5	126	laten	latende	later
├sae	8	125	saecke	saecken	saeke
├cap	27	124	capileyn	capiteyn	capitalen
├God	8	124	Gode	Godt	Godts
├lic	20	123	licht	lichten	lichtelyck
├Gal	20	123	Galissa	Gale	Galladulla
├syd	7	123	syde	syde-v]in	syden
├lie	28	122	liever	lieden	lietje
├gil	17	120	giljou	gilaloe	giljoutje
├mon	22	119	monterende	monslerrolle	monteeren
├Mar	39	119	Maradja	Mardyckers	Maradia
├100┤	1	119	100
├dit┤	1	119	dit
├cha	11	115	champher	chaloupen	champan
├bra	25	115	brant	branthout	brantvrye
├for	26	114	fort	forten	fortresse
├Spa	28	113	Spaenschen	Spaens	Spaengiaert
├vie	25	113	viel	vier	vierich
├Key	6	113	Keyser	Keyserlycke	Keysers
├zyn┤	1	112	zyn
├tra	41	112	travaden	trachten	translatie
├rec	34	112	rechttoe	rechter	rechtvaerdigh
├Soo┤	1	112	Soo
├Teg	8	112	Tegal	Tegenepatnam	Tegenepalnam
├cos	20	111	cost	costelycke	costume
├nag	6	111	nagelen	nagelgewas	nagelhandel
├Dae	16	111	Daeromme	Daerop	Daer
├Gom	14	111	Gomp	Gomatanangh	Gompaignie
├geo	29	109	geordonneert	geordonneerden	geoordeelt
├onv	56	108	onverslandigh	onverstandigh	onverwinnelycke
├pas	24	108	passende	passant	passeerende
├sam	5	107	samen	samensweeringe	samt
├hal	12	107	halff	halve	hals
├sec	19	106	secunda	secundo	secours
├alh	5	106	alhoewel	alhier	alh*antie
├reg	35	106	regenachtigh	regen	reguleren
├riv	7	106	riviere	rivit^re	rivierkant
├Ned	21	105	Nederlantsen	Nederlanfsche	Nederlantse
├app	16	105	apprehenlie	apparent	approbeerden
├rey	9	105	reyse	reysen	reys
├min	12	104	minder	mindere	minsten
├yse	5	104	ysere	yser	yseren
├beq	13	104	bequamen	bequaeme	bequaemen
├Jan	16	104	Jangounauvoan	January	Jansz
├bee	21	104	been	beeomen	beer
├roo	18	103	rooven	roode	rooms
├lee	31	103	leeger	leeuwen-daelders	leedigh
├ban	23	103	bant	banden	bandt
├inw	13	103	inwoonderen	inwoondereu	inwoonders
├dew	10	102	dewelcke	dewelckeu	dewyie
├Man	21	102	Manilhas	Manipe	Manecabers
├inc	24	101	inceops	incruypen	incomende
├nad	11	100	nadeel	nader	nadelich
├Jam	11	100	Jamby	Jambul	Jamma
├ben	33	99	beneden	benomen	benoodighde
├Amb	22	99	Ambassadeur	Amboina	Amboyna
├spe	24	98	speculatien	specy	speek
├sal	25	98	salvo	saligheyt	salveren
├rae	34	97	raet	raere	raetslaegen
├Per	14	97	Persia	Pera	Persiaen
├val	24	95	valideeren	valsche	vallen
├cou	46	95	coulant	coustuyme	couragieus
├lam	10	94	lamboe	lamboes	laml>oe
├Lou	13	93	Lourens	Loulioe	Louhoe
├cus	9	93	cust	cusle	custcleeden
├bew	35	92	beweghen	bewogen	bewaert
├inh	12	92	inhoudt	inhout	inhabitanten
├gal	34	92	galleye	galeyen	galliot
├zyn	5	91	zynde	zyne	zyner
├loo	15	91	loop	loopen	looth
├mak	4	90	maken	makende	makeker
├Mas	23	90	Massavoy	Massaboy	Masilipatnam
├Mae	12	89	Maen	Maer	Maejan
├nat	12	89	natie	naturele	natiën
├vor	17	89	vorderen	vorderende	vorderinge
├alt	14	89	altyt	altesamen	alteralie
├Che	7	89	Cherrebon	Cherbon	Cherrelwn
├sle	17	89	slechten	slechte	slecht
├cru	20	89	cruyt	cruyssende	cruyden
├sak	3	89	sake	saken	sakenalommeoock
├wet	7	88	weten	wettige	wetende
├woo	16	88	wooninge	wooitlen	woorden
├Jan┤	1	87	Jan
├dri	5	87	drie	driejarige	drincken
├met	23	87	metale	metterhaest	mettertyt
├myn	8	87	myne	myneu	mynen
├Pri	7	86	Priaman	Priainan	Priuce
├Ser	24	86	Sery	Serammers	Seroyen
├Nee	14	86	Neederlantsen	Neederlantse	Neederlants
├sor	22	85	sorgende	sorteringe	sorteren
├vro	15	85	vrouwen	vrolyck	vrouwe
├ass	13	84	assisteeren	assistentie	assistent
├amb	18	84	ambassaten	ambassada	ambassadeui
├luy	12	84	luyen	luysteren	luyden
├sey	20	84	seyde	seyden	seylvaerdigh
├vry┤	1	84	vry
├Tay	7	84	Tayouanse	Tayouan	Tayoman
├Sur	11	84	Suratta	Suratse	Surats
├dit	8	83	ditto	ditlos	dittos
├nam	9	83	namentlyck	namen	name
├dor	7	83	dorpen	dorpsluyden	dorste
├tus	7	82	tusschen	tusschenloopende	tusschenspreecken
├Wes	14	81	Westcust	Weslcusl	Westcusts
├oli	16	81	oliphant	oliphanten	oliphants-tanden
├win	13	81	winnen	wint	winden
├coy	3	81	coyangh	coyanghs	coyangb
├Moo	8	81	Mooren	Moorsen	Moors
├vas	21	79	vastelyck	vaste	vastetyck
├tre	25	79	treek	trencheen	trenche
├wit	5	79	witten	witte	witle
├vry	25	79	vrye	vrywilligb	vryheyt
├Der	6	79	Derwesa	Derwese	Dermayo
├Ant	20	78	Anthonisz	Anthony	Anthonio
├nem	4	78	nemen	nemende	neme
├vel	15	78	velt	velto	vele
├200┤	1	78	200
├pag	7	78	pagger	pagoden	paggerhout
├opd	8	78	opdat	opde	opdroegh
├Ber	20	78	Berckhout	Berckelangh	Berckelanghs
├hel	15	77	helpeh	helpen	helselve
├Sia	13	77	Siam	Siams	Siacalat
├nee	14	77	neerstighheyt	neen	neemt
├chi	17	76	chiampan	chinese	chits
├sil	9	75	silver	sillen	silvere
├bad	5	75	badden	badde	baddet
├opt┤	1	75	opt
├bal	22	74	ballast	balouw	balcken
├mal	14	74	malroose	malcanderen	malen
├tro	33	74	troupen	troup	trompetter
├can┤	1	74	can
├Lis	13	74	Lissebatte	Lissidj	Lissidis
├hon	19	73	hondert	honderden	hondertmael
├exp	17	73	expireeren	expireercn	expresse
├vad	11	73	vadem	vaderlandt	vaderlantse
├mus	21	72	musquettiers	musquetteryen	musquetcogel
├dac	9	72	dach	dacht	dacr
├mat	23	72	matroosen	materiaelen	matcander
├ken	8	72	kennen	kennis	kennisse
├ora	19	72	orame	oranghcayas	orangcaya
├Gam	20	72	Gambello	GambeHo	Gambellos
├Que	11	71	Queda	Quey	Quelpaert
├End	4	71	Ende	Endra	Endrabhana
├dee	19	71	deegen	deele	deel
├Dam	10	71	Damman	Dammack	Damack
├eys	9	71	eyscht	eysch	eyscben
├nef	4	70	neflens	neffens	neffeus
├rad	10	70	rade	raden	radix
├Pam	11	70	Pamanoucan	Pamalangh	Pamalan
├Ben	18	70	Bengalen	Bengale	Bengala
├int	22	69	intermissie	integendeel	intentie
├ret	15	69	retireren	retourne	retourneren
├Cey	6	69	Ceylon	Ceylonse	Ceysunbat
├Nan	18	69	Naningh	Nanderwerff	Nanningh
├rug	2	68	rugge	rugh
├dis	34	68	discreet	dispositie	distileren
├Tid	12	68	Tidorees	Tidoreesen	Tidoreese
├gua	11	67	guarde	guamisoen	guarnisoen
├Wat	11	67	Waterlant	Waterloose	Waterlandt
├Mat	28	67	Matagema	Matagena	Matens
├100	10	67	1000	10000	100386.11.12
├pit	6	66	pitjens	pitsjaren	pitsjaringen
├dal┤	1	65	dal
├log	7	65	logie	logement	logien
├geq	18	65	gequesten	gequetsten	gequalificeerde
├vis	25	65	visscheryen	visschers	visite
├Pat	26	65	Patengeloo	Patingelouwangh	Pattjlima
├afg	32	65	afgerekent	afgesteecken	afgecapt
├wat	7	64	water	waters	watter
├lag	6	64	lagen	lagender	lager
├Cam	27	64	Cambello	Cambellos	Cambodise
├Gri	6	63	Grissee	Grissce	Grissick
├Pan	18	63	Panghlymas	Panglima	Pannassy
├Gro	16	63	Grol	Grooten	Groeten
├Jul	5	63	July	Julio	Juli
├Aug	11	63	Augusto	Augusly	Augusty
├ghy┤	1	63	ghy
├spr	18	63	spreecken	springen	springende
├Fra	17	63	Franse	Fransman	Frans
├Nov	5	63	November	Novei]ri)er	Novemder
├ded	2	62	deden	dede
├men	18	62	mensche	menschen	mensclien
├cla	24	62	claerlyck	claer	clappusboomen
├Apr	1	62	April
├tay	2	62	tayl	taylen
├eyg	6	61	eygen	eygenaer	eygene
├Neg	7	61	Negombo	Negapatam	Negapatnam
├div	4	60	diversche	diverse	diverteren
├sed	2	60	sedige	sedert
├mor	14	59	morgens	morgen	morgensterre
├Lam	17	59	Lamodt	Lampongh	Lampouan
├aff┤	1	59	aff
├Chr	14	59	Christenen	Christelycke	Christen
├Col	13	59	Colombo	Colpetry	Colomeninde
├onb	39	58	onbeschamelyck	onbekenl	onbehoorlycke
├Jac	14	58	Jacob	Jacöb	Jacques
├bla	16	58	blancke	blancken	bladeren
├Rad	11	58	Raden	Radeh	Radja
├Sou	22	58	Sousounangh	Sousounam	Soury
├Sep	4	57	September	Seplember	Sepaty
├bek	10	57	bekent	bekomen	beknopte
├cry	15	57	crygen	cryghsmacht	cryghsgebruyck
├Hit	13	57	Hittoe	Hittoelamma	Hittoese
├byd	6	57	byder	byderhandt	byde
├wac	16	56	wachters	wachtbuysen	wacht
├Waw	7	56	Wawany	Wawanisrheede	Wawanis
├exc	21	55	excuseert	excedeert	excusen
├kin	4	55	kinderen	kindt	kinders
